Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetsContestedTotal,ReceptionsContested,AlignmentInlineRoutesPercentage,TouchdownsTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerTargetDropsTotal,TouchdownsInEndzone,ReceptionsHero,DeepTargetTargetsTotal
Tanner Conner,MIA,TE,2,No,No,No,2,1,No,No,1,1,,0.5,1,1,11,4,2,7,,1,,,7,112.5,5.5,11,3.6922,11,4,2,1,1.5355,1.5355,0.5,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,7,0.5,0.5,,,,,,,,,,,
Quintin Morris,BUF,TE,7,Yes,No,Yes,7,1,No,Yes,1,1,,0.1429,,,,,,5,,,,,5,39.6,,,-6.48,,,,,1.4517,1.4517,0.1429,,,,,,,,,,,,,,,16,0.2857,0.2857,,,0.4286,,1,,,1,,,
Ja'Tavion Sanders,CAR,TE,49,No,No,No,43,8,No,Yes,8,1,1,0.186,7,0.875,58,18,10,52,,5,,,6.5,136.5,1.3488,7.25,0.0316,8.2857,2.5714,1.4286,2,14.063,14.063,0.1667,11.8,18.8,15.3,18.8,22.3,18.8,15.3,18.8,18.8,18.8,15.3,22.3,18.8,1,16,0.7209,0.1395,1,1,0.1395,1,1,,,0.125,1,,
Jauan Jennings,SF,WR,72,No,No,No,69,19,Yes,Yes,15,0.7895,1,0.2754,13,0.6842,148,32,13,171,,15,,,9,104.7,2.1449,7.7895,-0.0752,11.3846,2.4615,1,8,29.8308,29.8308,0.2639,26.8,39.8,33.3,39.8,39.8,42.8,36.3,39.8,39.8,39.8,33.3,39.8,39.8,4,15,0.3623,0.6377,6,5,,2,1,,,0.0526,,,
Teagan Quitoriano,HST,TE,5,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.3333,,,,0.6667,,,,,,,,
Ashton Dulin,IND,WR,9,No,Yes,Yes,9,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.3333,0.6667,,,,,,,,,,,
Andrew Ogletree,IND,TE,16,No,Yes,Yes,13,2,No,No,2,1,,0.1538,1,0.5,15,10,,14,,1,,,7,114.6,1.1538,7.5,0.6302,15,10,,1,6.8033,6.8033,0.125,7.5,8.5,8,8.5,9,8.5,8,8.5,8.5,8.5,8,9,8.5,2,17,0.3077,0.2308,,,0.4615,1,1,,,0.5,,,
Jaylen Warren,PIT,RB,29,No,No,No,25,8,No,Yes,8,1,,0.32,8,1,61,44,11,17,0.92,,,,2.125,98.4,2.44,7.625,1.3864,7.625,5.5,1.375,5,13.4946,13.4946,0.32,6.1,14.1,10.1,18.1,14.1,14.1,10.1,14.1,14.1,14.1,10.1,14.1,14.1,1,15,,,,,0.08,,,,,,,,
Kendrick Bourne,NE,WR,51,Yes,No,Yes,45,6,No,Yes,5,0.8333,,0.1333,4,0.6667,62,20,11,66,,5,,,11,100.7,1.3778,10.3333,1.9212,15.5,5,2.75,4,13.8908,13.8908,0.1333,6.2,10.2,8.2,10.2,10.2,10.2,8.2,10.2,10.2,10.2,8.2,10.2,10.2,,12,0.2222,0.7778,,,,,1,,,0.1667,,,
Hassan Haskins,LAC,RB,13,No,No,Yes,6,2,No,No,2,1,,0.3333,2,1,39,36,1,3,0.8333,,,,1.5,158.3,6.5,19.5,13.3317,19.5,18,0.5,1,2.6801,2.6801,0.1538,9.9,11.9,10.9,12.9,11.9,11.9,10.9,11.9,11.9,11.9,10.9,11.9,11.9,,15,,0.1667,,,,1,,1,0.5,,,,
Mack Hollins,BUF,WR,45,Yes,No,Yes,45,8,No,Yes,6,0.75,4,0.1778,5,0.625,56,10,-1,86,,3,,,10.75,122.9,1.2444,7,-1.2884,11.2,2,-0.2,5,17.022,17.022,0.1778,17.6,22.6,20.1,22.6,22.6,22.6,20.1,22.6,22.6,22.6,20.1,22.6,22.6,4,17,0.3333,0.6667,2,1,,2,,,,,2,,
Juwan Johnson,NO,TE,81,No,No,Yes,74,18,No,Yes,16,0.8889,,0.2432,13,0.7222,161,64,21,153,,15,1,0.0556,8.5,76.4,2.1757,8.9444,0.9816,12.3846,4.9231,1.6154,8,30.5554,30.5554,0.24,16.1,29.1,22.6,29.1,35.6,32.1,25.6,29.1,29.1,29.1,22.6,35.6,29.1,1,17,0.5,0.2027,2,2,0.2973,,3,1,0.0769,0.1667,,1,
David Montgomery,DET,RB,47,No,Yes,No,37,14,No,No,12,0.8571,,0.3784,12,0.8571,105,85,23,26,0.9189,2,1,0.0714,1.8571,97.9,2.8378,7.5,1.146,8.75,7.0833,1.9167,6,20.3807,20.3807,0.3182,10.5,22.5,16.5,28.5,22.5,25.5,19.5,22.5,22.5,22.5,16.5,22.5,22.5,1,14,0.027,0.0541,1,1,,,,6,0.5,,,,
Tyler Boyd,TEN,WR,69,No,Yes,No,64,16,Yes,Yes,15,0.9375,1,0.25,11,0.6875,105,33,27,123,,10,,,7.6875,86.7,1.6406,6.5625,-0.6758,9.5455,3,2.4545,6,30.4261,30.4261,0.2424,10.5,21.5,16,21.5,21.5,24.5,19,21.5,21.5,21.5,16,21.5,21.5,4,16,0.8906,0.1094,4,1,,,1,1,0.0909,0.0625,,,
Tyler Allgeier,ATL,RB,20,No,No,No,15,2,No,Yes,2,1,,0.1333,2,1,23,13,10,10,0.9333,,,,5,114.6,1.5333,11.5,4.3147,11.5,6.5,5,1,2.9075,2.9075,0.1053,2.3,4.3,3.3,5.3,4.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,,17,,0.0667,,,,,,2,1,,,,
Foster Moreau,NO,TE,63,No,No,Yes,43,11,No,Yes,7,0.6364,2,0.2558,6,0.5455,47,29,11,76,,7,1,0.0909,6.9091,95.6,1.093,4.2727,-3.2162,7.8333,4.8333,1.8333,4,22.6971,22.6971,0.1897,10.7,16.7,13.7,16.7,19.7,16.7,13.7,16.7,16.7,16.7,13.7,19.7,16.7,3,17,0.4186,0.0465,1,,0.5349,1,,,,,1,,
Trey Sermon,IND,RB,25,No,Yes,Yes,20,7,No,No,7,1,,0.35,6,0.8571,44,35,14,13,0.9,,,,1.8571,92.9,2.2,6.2857,-0.0568,7.3333,5.8333,2.3333,1,10.1727,10.1727,0.28,4.4,10.4,7.4,13.4,10.4,10.4,7.4,10.4,10.4,10.4,7.4,10.4,10.4,1,17,0.05,0.05,,,,,1,1,0.1667,0.1429,,,
Josh Downs,IND,WR,55,No,Yes,Yes,55,21,No,No,18,0.8571,,0.3818,16,0.7619,137,61,15,109,0.0364,18,3,0.1429,5.1905,108.6,2.4909,6.5238,-0.2272,8.5625,3.8125,0.9375,7,36.0558,36.0558,0.3962,19.7,35.7,27.7,35.7,35.7,38.7,30.7,35.7,35.7,35.7,27.7,35.7,35.7,5,14,0.8,0.1636,3,2,,1,1,,,0.0476,,,
Khalil Herbert,CIN,RB,14,No,No,No,11,2,No,Yes,2,1,,0.1818,2,1,6,2,2,4,0.9091,,,,2,79.2,0.5455,3,-3.3947,3,1,1,,2.4909,2.4909,0.1538,0.6,2.6,1.6,3.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,,13,0.0909,,,,,,,,,,,,
Devaughn Vele,DEN,WR,47,No,No,No,47,12,No,Yes,11,0.9167,1,0.2553,9,0.75,138,49,19,109,,10,,,9.0833,140.3,2.9362,11.5,3.6795,15.3333,5.4444,2.1111,7,19.7734,19.7734,0.2667,19.8,28.8,24.3,28.8,28.8,31.8,27.3,28.8,28.8,28.8,24.3,28.8,28.8,1,13,0.7872,0.2128,2,1,,1,1,,,0.0833,1,,
Zamir White,LV,RB,18,Yes,No,No,11,,No,Yes,,,,,,,,,,,0.8182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.0909,0.0909,,,,,,,,,,,
Ameer Abdullah,LV,RB,53,No,No,No,40,8,No,No,7,0.875,,0.2,7,0.875,60,42,11,19,0.975,2,,,2.375,97.9,1.5,7.5,1.1311,8.5714,6,1.5714,3,11.6699,11.6699,0.1633,6,13,9.5,16.5,13,13,9.5,13,13,13,9.5,13,13,,16,,0.025,,,,,,1,0.1429,,,,
Trayveon Williams,CIN,RB,2,No,No,No,2,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,0.5,,,,,,,,,,,
Isaiah Hodgins,NYG,WR,4,No,No,No,4,1,No,Yes,1,1,,0.25,1,1,7,1,,6,,,,,6,95.8,1.75,7,0.0509,7,1,,,1.3192,1.3192,0.25,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,3,0.25,0.75,,,,,,,,,,,
Devin Singletary,NYG,RB,35,No,Yes,No,27,6,No,No,6,1,,0.2222,5,0.8333,36,40,14,-2,0.8148,2,2,0.3333,-0.3333,91.7,1.3333,6,0.1395,7.2,8,2.8,2,8.1782,8.1782,0.1935,3.6,8.6,6.1,11.1,8.6,8.6,6.1,8.6,8.6,8.6,6.1,8.6,8.6,,15,0.0741,0.1111,,,,,1,1,0.2,0.1667,,,
Josh Oliver,MIN,TE,26,No,No,No,23,6,Yes,Yes,4,0.6667,,0.2609,4,0.6667,56,45,9,26,,1,,,4.3333,96.5,2.4348,9.3333,2.867,14,11.25,2.25,3,9.2344,9.2344,0.2727,5.6,9.6,7.6,9.6,11.6,9.6,7.6,9.6,9.6,9.6,7.6,11.6,9.6,,15,0.087,0.0435,,,0.8696,,,,,,,,
Nick Chubb,CLV,RB,19,No,Yes,Yes,17,4,No,No,3,0.75,,0.2353,1,0.25,10,6,3,8,1,1,1,0.25,2,,0.5882,2.5,-4.1022,10,6,3,1,5.6437,5.6437,0.2353,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,,8,,,,,,,1,,,0.25,,,
Michael Carter,ARZ,RB,18,No,No,No,15,3,Yes,Yes,3,1,,0.2,3,1,19,15,7,4,0.7333,,,,1.3333,93.1,1.2667,6.3333,0.3822,6.3333,5,2.3333,1,4.6049,4.6049,0.2,1.9,4.9,3.4,6.4,4.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,1,3,0.1333,0.1333,,,,,,1,0.3333,,,,
Tyjae Spears,TEN,RB,35,No,Yes,No,31,13,Yes,Yes,12,0.9231,,0.4194,12,0.9231,69,51,27,19,0.9032,5,,,1.4615,114.4,2.2258,5.3077,-0.6633,5.75,4.25,2.25,3,18.1222,18.1222,0.3824,12.9,24.9,18.9,30.9,24.9,24.9,18.9,24.9,24.9,24.9,18.9,24.9,24.9,2,12,0.0645,0.0323,,,,1,,4,0.3333,,,,
Keaton Mitchell,BLT,RB,1,No,No,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,
Laviska Shenault,LAC,WR,3,No,No,No,3,,No,Yes,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.6667,,,,,,,,,,,,
D.J. Moore,CHI,WR,84,No,No,No,83,25,No,Yes,20,0.8,1,0.3012,19,0.76,160,104,17,121,,17,8,0.32,4.84,105.4,1.9277,6.4,-0.1616,8.4211,5.4737,0.8947,8,40.6525,40.6525,0.3205,22,41,31.5,41,41,44,34.5,41,41,41,31.5,41,41,4,17,0.4217,0.5783,1,1,,1,1,4,0.2105,0.04,1,,
Bucky Irving,TB,RB,40,No,No,Yes,34,3,No,Yes,3,1,,0.0882,3,1,25,33,18,-8,0.7353,3,3,1,-2.6667,101.4,0.7353,8.3333,2.3447,8.3333,11,6,1,4.3093,4.3093,0.075,2.5,5.5,4,7,5.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,,17,0.1176,0.1471,,,,,,2,0.6667,,,,
Rome Odunze,CHI,WR,83,No,No,No,72,15,No,Yes,9,0.6,3,0.2083,8,0.5333,85,25,8,138,0.0139,7,,,9.2,92.4,1.1806,5.6667,-2.3069,10.625,3.125,1,6,29.9704,29.9704,0.1923,14.5,22.5,18.5,22.5,22.5,22.5,18.5,22.5,22.5,22.5,18.5,22.5,22.5,3,17,0.3333,0.6528,5,4,,1,,,,,1,1,
Brenden Bates,CLV,TE,3,No,No,Yes,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,0.3333,,,0.6667,,,,,,,,
Isaiah Davis,NYJ,RB,12,No,No,No,11,3,No,Yes,3,1,,0.2727,3,1,14,15,2,-1,0.7273,2,2,0.6667,-0.3333,125.7,1.2727,4.6667,-1.3503,4.6667,5,0.6667,2,6.4906,6.4906,0.25,7.4,10.4,8.9,11.9,10.4,10.4,8.9,10.4,10.4,10.4,8.9,10.4,10.4,1,13,0.0909,0.1818,,,,1,,,,,,,
Colby Parkinson,LA,TE,69,No,No,No,64,14,Yes,Yes,8,0.5714,2,0.2188,7,0.5,60,28,4,67,,5,1,0.0714,4.7857,61.6,0.9375,4.2857,-2.6107,8.5714,4,0.5714,3,22.8925,22.8925,0.2059,6,13,9.5,13,16.5,13,9.5,13,13,13,9.5,16.5,13,2,17,0.2344,0.125,,,0.6406,,1,,,0.0714,,,
Anthony Firkser,KC,TE,3,No,Yes,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,0.3333,,,0.6667,,,,,,,,
Justice Hill,BLT,RB,58,No,No,No,44,5,No,Yes,4,0.8,,0.1136,4,0.8,29,30,9,3,0.9773,2,2,0.4,0.6,90.8,0.6591,5.8,-0.4436,7.25,7.5,2.25,2,7.8307,7.8307,0.0962,2.9,6.9,4.9,8.9,6.9,6.9,4.9,6.9,6.9,6.9,4.9,6.9,6.9,2,16,,0.0227,,,,,,1,0.25,,,,
Tyler Conklin,NYJ,TE,83,No,No,No,74,17,No,Yes,16,0.9412,2,0.2297,15,0.8824,126,69,26,85,,11,1,0.0588,5,136.8,1.7027,7.4118,0.8462,8.4,4.6,1.7333,9,27.4424,27.4424,0.2125,24.6,39.6,32.1,39.6,47.1,42.6,35.1,39.6,39.6,39.6,32.1,47.1,39.6,2,16,0.6216,0.0676,1,1,0.3108,2,1,2,0.1333,0.0588,2,1,
Sincere McCormick,LV,RB,4,No,No,No,2,1,No,Yes,1,1,,0.5,1,1,2,,,2,1,,,,2,79.2,1,2,-4.3947,2,,,,1.256,1.256,0.25,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,4,,,,,,,,,,,,,
K.J. Osborn,WAS,WR,15,No,No,Yes,15,2,Yes,Yes,2,1,,0.1333,2,1,12,3,3,9,,1,,,4.5,91.7,0.8,6,-0.2063,6,1.5,1.5,1,3.2521,3.2521,0.1333,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,2,9,0.2667,0.7333,,,,,,,,,,,
James Conner,ARZ,RB,49,Yes,Yes,No,45,11,No,No,11,1,,0.2444,11,1,93,92,50,1,0.7556,3,2,0.1818,0.0909,132.2,2.0667,8.4545,2.4408,8.4545,8.3636,4.5455,2,17.6742,17.6742,0.2391,15.3,26.3,20.8,31.8,26.3,26.3,20.8,26.3,26.3,26.3,20.8,26.3,26.3,2,16,0.0222,0.2222,,,,1,,5,0.4545,,,,
Chris Brooks,GB,RB,14,No,No,No,10,3,No,Yes,3,1,,0.3,2,0.6667,12,12,6,4,0.7,3,2,0.6667,1.3333,74.3,1.2,4,-2.4302,6,6,3,,7.6995,7.6995,0.2308,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,1,13,,0.2,1,1,0.1,,1,,,0.3333,,,
Christian Watson,GB,WR,45,No,No,No,43,7,No,Yes,5,0.7143,,0.1628,4,0.5714,54,6,3,72,,4,,,10.2857,42.3,1.2558,7.7143,-0.288,13.5,1.5,0.75,4,10.9975,10.9975,0.1628,5.4,9.4,7.4,9.4,9.4,9.4,7.4,9.4,9.4,9.4,7.4,9.4,9.4,,15,0.3256,0.6744,,,,,1,,,0.1429,,,
Dallin Holker,NO,TE,5,No,No,Yes,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.3333,0.3333,,,0.3333,,,,,,,,
Jonathon Brooks,CAR,RB,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
Tom Kennedy,DET,WR,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,
Ben Sims,GB,TE,5,No,No,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,1,,,,,,,,
DeAndre Carter,CHI,WR,5,No,Yes,Yes,5,2,No,Yes,1,0.5,1,0.4,1,0.5,9,2,,31,,2,,,15.5,62.5,1.8,4.5,-4.9087,9,2,,,4.9242,4.9242,0.4,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,2,13,0.8,0.2,,,,,,,,,,,1
Robbie Chosen,MIA,WR,2,No,Yes,No,2,1,No,Yes,1,1,,0.5,1,1,5,1,1,4,,1,,,4,87.5,2.5,5,-1.0498,5,1,1,,1.5114,1.5114,0.5,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,2,0.5,0.5,,,,,,,,,,,
Kayshon Boutte,NE,WR,75,Yes,No,Yes,69,6,No,Yes,6,1,,0.087,3,0.5,41,19,11,54,,5,,,9,32.6,0.5942,6.8333,-0.9311,13.6667,6.3333,3.6667,2,11.6982,11.6982,0.0909,4.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,,15,0.1449,0.8551,,,,,3,2,0.6667,0.5,,,
Hunter Long,LA,TE,8,No,No,No,7,2,Yes,Yes,1,0.5,,0.2857,1,0.5,7,3,1,7,,1,,,3.5,58.3,1,3.5,-2.6943,7,3,1,,2.7193,2.7193,0.25,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,17,0.1429,,,,0.8571,,,,,,,,
Jonathan Mingo,DAL,WR,46,No,No,Yes,43,3,Yes,Yes,2,0.6667,,0.0698,1,0.3333,8,4,,13,,2,,,4.3333,42.4,0.186,2.6667,-3.4875,8,4,,,4.1267,4.1267,0.0732,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,17,0.4186,0.5814,,,,,1,,,0.3333,,,
Cooper Kupp,LA,WR,64,Yes,Yes,No,63,14,No,No,11,0.7857,1,0.2222,10,0.7143,107,33,12,114,,10,,,8.1429,93.5,1.6984,7.6429,0.0343,10.7,3.3,1.2,5,24.053,24.053,0.2333,10.7,20.7,15.7,20.7,20.7,23.7,18.7,20.7,20.7,20.7,15.7,20.7,20.7,1,12,0.619,0.381,1,,,,,1,0.1,,,,
Steven Sims,BLT,WR,1,No,No,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,
Tommy Tremble,CAR,TE,46,No,No,No,42,10,No,Yes,10,1,2,0.2381,8,0.8,72,24,24,84,,9,,,8.4,130,1.7143,7.2,-0.2717,9,3,3,3,19.0366,19.0366,0.2222,13.2,21.2,17.2,21.2,25.2,21.2,17.2,21.2,21.2,21.2,17.2,25.2,21.2,2,12,0.5238,0.1667,4,2,0.3095,1,1,1,0.125,0.1,1,,1
Ja'Marr Chase,CIN,WR,120,No,No,No,119,26,No,Yes,25,0.9615,3,0.2185,22,0.8462,263,147,84,163,0.0168,19,5,0.1923,6.2692,148.4,2.2101,10.1154,3.1015,11.9545,6.6818,3.8182,15,50.3021,50.3021,0.2281,50.3,72.3,61.3,72.3,72.3,75.3,64.3,72.3,72.3,72.3,61.3,72.3,72.3,7,17,0.3193,0.6639,5,3,,4,2,3,0.1364,0.0769,2,,
D'Andre Swift,CHI,RB,52,No,No,No,36,8,No,Yes,7,0.875,,0.2222,7,0.875,54,47,4,7,0.6944,3,3,0.375,0.875,94.8,1.5,6.75,0.5916,7.7143,6.7143,0.5714,2,11.7858,11.7858,0.1667,5.4,12.4,8.9,15.9,12.4,12.4,8.9,12.4,12.4,12.4,8.9,12.4,12.4,,17,0.1111,0.1944,,,,,,1,0.1429,,,,
Adam Trautman,DEN,TE,26,No,No,No,18,5,No,Yes,3,0.6,1,0.2778,1,0.2,13,,,36,,1,,,7.2,79.2,0.7222,2.6,-4.6811,13,,,1,9.5887,9.5887,0.2174,7.3,8.3,7.8,8.3,8.8,8.3,7.8,8.3,8.3,8.3,7.8,8.8,8.3,1,17,0.1111,0.2778,2,,0.6111,1,,,,,1,,
Saquon Barkley,PHI,RB,35,Yes,No,No,30,7,No,Yes,7,1,,0.2333,6,0.8571,72,58,43,18,0.9,,,,2.5714,109.5,2.4,10.2857,3.7414,12,9.6667,7.1667,2,11.5801,11.5801,0.2121,7.2,13.2,10.2,16.2,13.2,13.2,10.2,13.2,13.2,13.2,10.2,13.2,13.2,1,16,0.0333,0.0667,,,,,1,3,0.5,0.1429,,,
Evan Engram,JAX,TE,32,No,No,No,32,12,No,Yes,9,0.75,,0.375,9,0.75,101,49,11,64,,10,1,0.0833,5.3333,99.7,3.1562,8.4167,1.3847,11.2222,5.4444,1.2222,5,18.2046,18.2046,0.3871,10.1,19.1,14.6,19.1,23.6,22.1,17.6,19.1,19.1,19.1,14.6,23.6,19.1,1,9,0.5312,0.0938,,,0.375,,,,,,,,
Jamari Thrash,CLV,WR,7,No,No,Yes,7,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.4286,0.5714,,,,,,,,,,,
KhaDarel Hodge,ATL,WR,15,No,No,No,15,1,No,Yes,1,1,,0.0667,,,,,,4,,,,,4,39.6,,,-6.0498,,,,,1.701,1.701,0.0769,,,,,,,,,,,,,,1,16,0.4,0.6,,,,,1,,,1,,,
Will Dissly,LAC,TE,51,No,No,Yes,45,17,No,No,16,0.9412,1,0.3778,15,0.8824,136,50,24,110,,10,,,6.4706,119.6,3.0222,8,0.9017,9.0667,3.3333,1.6,6,31.0654,31.0654,0.3542,19.6,34.6,27.1,34.6,42.1,37.6,30.1,34.6,34.6,34.6,27.1,42.1,34.6,3,15,0.3111,0.2222,3,2,0.4667,1,,1,0.0667,,1,,
Rasheen Ali,BLT,RB,2,No,No,Yes,2,1,No,No,1,1,,0.5,,,,,,,1,,,,,39.6,,,-5.8271,,,,,1.5315,1.5315,0.5,,,,,,,,,,,,,,,5,,,,,,,1,,,1,,,
Miles Sanders,CAR,RB,24,No,No,No,17,1,No,Yes,1,1,,0.0588,1,1,11,14,1,-3,0.6471,1,,,-3,112.5,0.6471,11,4.8809,11,14,1,,1.6714,1.6714,0.0435,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,11,0.1765,0.1765,,,,,,2,2,,,,
Charlie Jones,CIN,WR,5,No,No,Yes,5,1,No,Yes,1,1,,0.2,1,1,5,,,5,,1,,,5,87.5,1,5,-1.3628,5,,,,1.6126,1.6126,0.2,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,8,0.8,0.2,,,,,,,,,,,
Marquez Valdes-Scantling,NO,WR,62,No,No,Yes,56,8,No,Yes,7,0.875,1,0.1429,6,0.75,115,70,2,76,,6,,,9.5,156.3,2.0536,14.375,6.4703,19.1667,11.6667,0.3333,4,16.2761,16.2761,0.1333,23.5,29.5,26.5,29.5,29.5,32.5,29.5,29.5,29.5,29.5,26.5,29.5,29.5,1,14,0.25,0.75,1,,,2,,,,,1,,
Adonai Mitchell,IND,WR,27,No,Yes,Yes,26,2,No,No,1,0.5,1,0.0769,1,0.5,9,14,2,10,,2,1,0.5,5,62.5,0.3462,4.5,-2.7847,9,14,2,1,5.1507,5.1507,0.0769,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1,17,0.2308,0.7692,,,,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,66,No,No,Yes,62,9,No,Yes,7,0.7778,2,0.1452,7,0.7778,58,10,7,88,,5,,,9.7778,133.1,0.9355,6.4444,-1.5417,8.2857,1.4286,1,6,15.6221,15.6221,0.1406,17.8,24.8,21.3,24.8,24.8,24.8,21.3,24.8,24.8,24.8,21.3,24.8,24.8,2,17,0.1774,0.8226,1,1,,2,,1,0.1429,,2,,
Connor Heyward,PIT,TE,8,No,No,No,7,3,No,Yes,3,1,,0.4286,2,0.6667,10,1,,14,0.1429,1,,,4.6667,71.5,1.4286,3.3333,-3.3253,5,0.5,,1,4.3015,4.3015,0.4286,1,3,2,3,4,3,2,3,3,3,2,4,3,,16,0.1429,0.4286,1,,0.2857,,,,,,,,
Brevyn Spann-Ford,DAL,TE,23,No,No,Yes,19,2,Yes,Yes,2,1,,0.1053,1,0.5,18,2,,22,,2,,,11,81.3,0.9474,9,0.358,18,2,,1,4.6069,4.6069,0.0909,1.8,2.8,2.3,2.8,3.3,2.8,2.3,2.8,2.8,2.8,2.3,3.3,2.8,1,17,0.4211,0.1053,1,,0.4737,,,,,,,,
Tyler Higbee,LA,TE,5,No,No,No,5,1,Yes,Yes,,,,0.2,,,,,,7,,,,,7,39.6,,,-7.3078,,,,,1.296,1.296,0.2,,,,,,,,,,,,,,1,3,0.4,,,,0.6,,,,,,,,
Parris Campbell,PHI,WR,5,No,No,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,
Jake Bobo,SEA,WR,24,No,No,No,23,5,Yes,Yes,4,0.8,,0.2174,4,0.8,31,6,3,41,,3,,,8.2,92.5,1.3478,6.2,-1.2611,7.75,1.5,0.75,1,7.7333,7.7333,0.2083,3.1,7.1,5.1,7.1,7.1,7.1,5.1,7.1,7.1,7.1,5.1,7.1,7.1,,17,0.1739,0.8261,,,,,,1,0.25,,,,
