"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Emanuel Wilson","Packers","125","1.06","0.008","-3.22","-0.026","-3.03","-0.02","48.8%","0.8","0.0","8.0%","5.6%"
"[object Object]","2025","DJ Giddens","Colts","26","1.01","0.039","0.18","0.007","-0.59","-0.02","38.5%","1.0","0.0","15.4%","15.4%"
"[object Object]","2025","Michael Penix Jr.","Falcons","21","0.97","0.046","-0.61","-0.029","2.95","0.14","42.9%","-0.1","-0.0","19.0%","14.3%"
"[object Object]","2025","Cam Akers","Vikings","5","0.95","0.191","0.78","0.155","0.55","0.11","60.0%","0.9","0.0","20.0%","20.0%"
"[object Object]","2025","British Brooks","Texans","17","0.89","0.052","0.35","0.021","1.36","0.08","41.2%","0.9","0.0","23.5%","5.9%"
"[object Object]","2025","Elijah Moore","Bills","6","0.83","0.139","0.65","0.108","-0.80","-0.13","50.0%","0.8","0.0","0.0%","16.7%"
"[object Object]","2025","Jameis Winston","Giants","7","0.80","0.115","0.59","0.085","2.63","0.38","28.6%","0.8","0.0","28.6%","14.3%"
"[object Object]","2025","Jeremy McNichols","Commanders","44","0.59","0.013","-0.93","-0.021","-3.67","-0.08","47.7%","0.5","0.0","18.2%","18.2%"
"[object Object]","2025","Keaton Mitchell","Ravens","59","0.54","0.009","-1.63","-0.028","4.12","0.07","45.8%","0.3","0.0","11.9%","11.9%"
"[object Object]","2025","Clayton Tune","Packers","5","0.53","0.106","0.14","0.028","1.05","0.21","40.0%","0.3","0.0","40.0%","0.0%"
"[object Object]","2025","Rico Dowdle","Panthers","236","0.48","0.002","-7.66","-0.032","-4.01","-0.02","41.9%","-0.1","-0.0","11.9%","9.3%"
"[object Object]","2025","Hunter Luepke","Cowboys","16","0.23","0.014","-0.23","-0.015","1.69","0.11","68.8%","0.3","0.0","18.8%","6.3%"
"[object Object]","2025","DJ Moore","Bears","15","0.15","0.010","-0.29","-0.019","3.81","0.25","53.3%","0.1","0.0","20.0%","0.0%"
"[object Object]","2025","Austin Ekeler","Commanders","14","0.10","0.007","-0.34","-0.024","-0.39","-0.03","64.3%","0.1","0.0","7.1%","14.3%"
"[object Object]","2025","Ronnie Rivers","Rams","9","0.03","0.004","-0.25","-0.027","-1.33","-0.15","44.4%","0.0","0.0","11.1%","33.3%"
